waypoint1	waypoint2	distance_m	duration_s
Beartooth Pass North Montana	Big Cottonwood Canyon Utah	824862	167874
Daylight Pass Rd California	Grand Mesa North Colorado	1084880	211918
Mission Ridge Washington	Big Cottonwood Canyon Utah	1354023	255472
Townes Pass West California	Hwy 31 West Utah	791321	151385
Trail Ridge Rd Colorado	Refugio Rd California	1982207	390406
Mineral King Rd California	Hurricane Ridge Washington	1907777	370673
Hwy 157 Mt Charleston Nevada	Nate Harrison Grade California	514915	100361
Nate Harrison Grade California	South Lake California	528445	103386
Shirley Meadows California	Hwy 14 Alt Route Wyoming	1765511	347137
Glacier Lodge Rd California	Little Cottonwood Canyon Utah	908754	168788
Pikes Peak Colorado	Hwy 330 California	1647202	322034
Hurricane Ridge Washington	Onion Valley Rd California	1759299	332260
Lake Sabrina California	Hwy 330 California	427296	77628
Clingman's Dome Tennessee	Townes Pass East California	3809483	726244
Dantes View California	Sandia Crest Hwy New Mexico	1145761	216866
Hwy 190 California	Mt Auscutney Vermont	5196594	977187
Hurricane Ridge Washington	Palomar Mt California	2219882	423163
Hwy 21-245-180-198 California	Dantes View California	456316	101505
Left Hand Canyon Colorado	Mt Baldy California	1878899	374731
Mt Hood Oregon	Mt Auscutney Vermont	5190957	986952
Dantes View California	Breckenridge Rd East California	307176	68652
Sherman Pass West California	Hwy 198 California	160217	38984
Death Valley Rd East California	Hwy 21-Whittaker Forest California	236751	84330
Trail Ridge Rd Colorado	Clingman's Dome Tennessee	2498888	474180
Burke Mt Vermont	Mt Lemmon Arizona	4495327	823353
Grand Mesa South Colorado	Empire Pass Utah	495604	107142
Powder Mountain Utah	Wildrose California	963397	185346
Hwy 143 Utah	Hwy 18 North California	691848	135669
Hwy 330 California	Beasore Rd California	585022	122667
Hwy 168 California	Hwy 330 California	520795	105745
Glacier Lodge Rd California	Independence Pass Colorado	1384680	285907
Wheeler Peak Nevada	Mt Shasta California	943768	180630
Guanella Pass Colorado	Mix Canyon Fairfield California	1850704	371340
Glacier Lodge Rd California	Nate Harrison Grade California	499958	98036
Hwy 157-158 Nevada	Beasore Rd California	849552	165779
Guardsman Pass Utah	Mt Rose California	895510	173824
Horseshoe Meadows Rd California	Big Cottonwood Canyon Utah	976949	182599
Hwy 143 Utah	Mt Hood Oregon	1392275	257779
