waypoint1	waypoint2	distance_m	duration_s
Pine Creek Rd, CA	Hwy 18-Waterman Canyon, CA	2332144	448859
Grand Mesa South, CO	Clingman's Dome, TN	2774148	547579
Mt Ashland, OR	Mt Rose, CA	508304	103600
Mix Canyon, Fairfield	White Mountain, CA	516487	118819
Valley of the Falls Dr, Forest Falls, CA 92339	Burke Mt, VT	5048119	936774
Dawson's Saddle, CA	Pikes Peak, CO	1701581	343175
Mix Canyon, Fairfield	Mt Hood, OR	979574	196232
Refugio Rd, CA	Whiteface Mt, NY	5102892	952495
Whitaker Forest Road, Badger, California	Mt Washington Auto Rd, NH	5417161	1026545
Onion Valley Rd, CA	Mt Spokane, WA	1568794	300040
Hwy 143, UT	East Portal, CO	966932	204229
Hwy 143, UT	Hurricane Ridge, WA	1897237	375195
Tollhouse Rd, CA	Hwy 153, UT	931863	199171
Valley of the Falls Dr, Forest Falls, CA 92339	Trail Ridge Rd, CO	1761852	352896
Pine Creek Rd, CA	Mission Ridge, WA	1009894	207155
Hwy 330, CA	Hwy 18-Waterman Canyon, CA	34592	14249
Townes Pass East, CA	Gibraltar Road, Santa Barbara, CA	432567	86349
Trail Ridge Rd, CO	Mt Rose, CA	1593565	318691
Mt Equinox, VT	Bear Creek Road, CA	5218551	994340
Guanella Pass, CO	Bear Creek Road, CA	2027892	422009
Wheeler Peak, NV	Hwy 157-158, NV	429037	78489
Mix Canyon, Fairfield	Clingman's Dome, TN	4557698	878359
Dawson's Saddle, CA	Dantes View, CA	382200	73405
Portuguese Pass, CA	Mt Rose, CA	704589	152146
Cottonwood Pass, CO	Empire Pass, UT	682953	157816
Hwy 198, CA	South Lake, CA	216659	58281
Wildrose, CA	Beasore Rd, CA	2815820	560101
Wheeler Peak, NV	Hwy 143, UT	258846	53789
Dawson's Saddle, CA	Monitor Pass East, CA	627231	124123
Kolob Terrace Rd, UT	South Lake, CA	717034	150758
Daylight Pass Rd, CA	Mt Evans, CO	1481333	294631
Wolf Creek Pass, CO	Lake Sabrina, CA	1468451	289529
Hwy 198, CA	Mission Ridge, WA	1654166	328352
Mt Rose, CA	Grand Mesa North, CO	1390908	279148
Monitor Pass East, CA	Magnolia Dr, CO	1591542	327416
Mt Spokane, WA	Grand Mesa North, CO	1707882	335710
Refugio Rd, CA	Hwy 39-Crystal Lake Rd, CA	286065	54592
N4/Table Mt, CA	Breckenridge Rd East, CA	2202361	427391
Daylight Pass Rd, CA	Mt Spokane, WA	1593562	305375
Dawson's Saddle, CA	Beartooth Pass North, MT	1791578	336747
N4/Table Mt, CA	Horseshoe Meadows Rd, CA	1964568	374284
Wolf Creek Pass, CO	East Portal, CO	428019	98068
Slumgullion Pass West, CO	Mt Ashland, OR	1938360	392420
Mineral King Rd, CA	East Portal, CO	2045813	422324
Kolob Terrace Rd, UT	Grand Mesa North, CO	702661	150387
Mt Spokane, WA	Emigrant Pass East, CA	1720629	325363
Hwy 190, CA	Mosquito Ridge Rd East, CA	544669	119751
Parks Creek East, CA	Empire Pass, UT	1193142	229270
Cajon Junction, California 92371	Mt Baldy, CA	67281	16224
Clingman's Dome, TN	Mosquito Ridge Rd East, CA	4425483	858333
Pikes Peak, CO	Horseshoe Meadows Rd, CA	1770488	360308
Townes Pass West, CA	Onion Valley Rd, CA	136729	29822
Wheeler Peak, NV	Daylight Pass Rd, CA	476182	87882
Monitor Pass East, CA	Left Hand Canyon, CO	1624656	331850
Mt Shasta, CA	Whitney Portal, CA	777143	154416
Wildrose, CA	Balch Park Rd, CA	2958290	580938
Etna Summit West, CA	Death Valley Rd East, CA	859196	164247
Burke Mt, VT	Townes Pass West, CA	5042723	943875
Grand Mesa South, CO	East Portal, CO	436933	107785
Guardsman Pass, UT	Emigrant Pass East, CA	840328	165210
Portuguese Pass, CA	Mt Hood, OR	1483458	298656
Sherman Pass West, CA	Clingman's Dome, TN	3980092	773920
Whitaker Forest Road, Badger, California	Magnolia Dr, CO	1668195	379338
Mt Harrision, ID	Hwy 39-Crystal Lake Rd, CA	1337890	250726
Mineral King Rd, CA	Clingman's Dome, TN	4189798	817681
Guanella Pass, CO	East Portal, CO	73985	24736
Townes Pass East, CA	Mt Evans, CO	1530800	309263
Burke Mt, VT	Whitney Portal, CA	5178117	960630
Clingman's Dome, TN	Daylight Pass Rd, CA	3837081	741081
Bear Creek Road, CA	White Mountain, CA	546345	127774
Hwy 180 West, CA	Glacier Lodge Rd, CA	212969	76936
Hwy 190, CA	Magnolia Dr, CO	1540214	327426
Portuguese Pass, CA	Cottonwood Pass, CO	1567604	327878
Mt Shasta, CA	Mt Evans, CO	1941414	384074
Hwy 14 West, WY	Clingman's Dome, TN	2554467	497220
Mt Shasta, CA	Hwy 156-158, NV	4665557	882595
Portuguese Pass, CA	Whitney Portal, CA	236978	53311
Mosquito Ridge Rd East, CA	Lake Sabrina, CA	433697	100104
Beasore Rd, CA	White Mountain, CA	297721	84969
Mt Harrision, ID	Big Cottonwood Canyon, UT	319298	65415
Breckenridge Rd East, CA	Hwy 156-158, NV	4055956	777970
Mineral King Rd, CA	Tollhouse Rd, CA	177030	41501
Guardsman Pass, UT	Aspen, Colorado	599673	129364
Mt Washington Auto Rd, NH	Gibraltar Road, Santa Barbara, CA	5319712	1003476
Hwy 14 Alt Route, WY	Townes Pass East, CA	1445198	285429
Aspen, Colorado	Emigrant Pass East, CA	1240555	258765
Bear Creek Road, CA	Nate Harrison Grade, CA	858498	178287
Hwy 157-158, NV	Lake Sabrina, CA	434811	83685
Townes Pass East, CA	Whitney Portal, CA	120826	27915
Hwy 18 North, CA	Death Valley Rd East, CA	4150344	796748
Magnolia Dr, CO	Death Valley Rd East, CA	1442268	302228
Hurricane Ridge, WA	Lake Sabrina, CA	1704912	339833
Mineral King Rd, CA	Big Cottonwood Canyon, UT	1418728	281174
Mt Ashland, OR	Mt Evans, CO	2054819	413840
Dawson's Saddle, CA	Slumgullion Pass West, CO	1387462	281788
South Lake, CA	Empire Pass, UT	1141198	230925
Rock Creek, CA	Hwy 157-158, NV	847356	165709
Mt Ashland, OR	Hwy 21-245-180-198, CA	749019	154674
N4/Table Mt, CA	Mt Auscutney, VT	4330259	810884
