number, name, fiets_index_score, length, avg_grade, ele_gain, ele_desc, start_ele, end_ele, max_grade, rd_cond, traffic, lat, long, url, route_number, secondary_route_number
69, Portuguese Pass California, 8.32, 13.6, 5.7, 4178, -125, 3264, 7339, 14.6, 2, 5, 35.79496, -118.70404, "https://www.pjammcycling.com/67.--pine-creek--ca.html", 694534
70, Sandia Crest Hwy New Mexico, 8.32, 13.4, 5.4, 3874, -122, 6882, 10648, 11.1, 4, 4, 35.16311, -106.34845, "https://www.pjammcycling.com/67a---left-hand-canyon.html",1466117
71, Pine Creek Rd California, 8.3, 8.8, 7.3, 3223, 0, 4649, 7842, 11.1, 3, 4, 37.41956, -118.58354, "https://www.pjammcycling.com/68.--hwy-31--ut.html",4350313
72, Hwy 31 West Utah, 8.22, 13.4, 6.3, 3859, -64, 5991, 9787, 10.2, 4, 4, 39.63436, -111.44029, "https://www.pjammcycling.com/69.--clingman-s-dome--tn.html",9760623
73, Clingman's Dome Tennessee, 8.21, 20.2, 4.8, 5890, -893, 1481, 6613, 19.9, 4, 2, 35.68472, -83.53517, "https://www.pjammcycling.com/70.-stainback-rd--hi.html",629572
74, Stainback Rd Hawaii, 8.19, 18.3, 5.5, 4906, 0, 241, 5188, 7.5 , 4, 4, 19.66392, -155.06096, "https://www.pjammcycling.com/71.--wolf-creek-pass--co.html",8945499
75, Death Valley Rd East California, 8.19, 15.1, 5.7, 4295, -72, 3423, 7630, 10.30 , 3, 5, 37.28242, -117.87875, "https://www.pjammcycling.com/71a-death-valley-rd-east--ca.html",5585297
76, Wolf Creek Pass Colorado, 8.1, 8.7, 6.4, 2942, 0, 7906, 10857, 15.4, 5, 2, 37.43559, -106.88612, "https://www.pjammcycling.com/71.--mission-ridge--wa.html",3650413
77, Slumgullion Pass West Colorado, 8.09, 7.6, 6.9, 2686, -4, 8843, 11539, 11.7, 3, 4, 37.99783, -107.29417, "https://www.pjammcycling.com/73.--daylight-pass--death-valley---ca.html",1698011
78, Mission Ridge Washington, 8.05, 11.0, 7.1, 3812, -2, 792, 4556, 12.9, 4, 3, 47.39676, -120.30286, "https://www.pjammcycling.com/74.--elkhorn-summit--or.html",1190714
79, Daylight Pass Rd California, 8, 12.8, 6.0, 4121, 0, 176, 4313, 8.8 , 3, 5, 36.6464, -117.04131, "https://www.pjammcycling.com/74a-slumgulion-pass.html",1053678
80, Elkhorn Summit Oregon, 8, 10.3, 6.3, 3484, -17, 3735, 7226, 13.2, , , 44.99366, -118.082, "https://www.pjammcycling.com/75.-kolob-terrace--ut.html",2367960
81, Kolob Terrace Rd Utah, 7.99, 15.4, 5.4, 4296, -119, 3809, 7988, 11.9, 3, 4, 37.25145, -113.14089, "https://www.pjammcycling.com/76.--cottonwood-pass--co.html",9776483
82, Cottonwood Pass Colorado, 7.99, 18.5, 4.4, 4150, -48, 8016, 12127, 9.50, 3, 4, 38.83791, -106.14577, "https://www.pjammcycling.com/77.--hwy-153--ut.html",1515689
83, Hwy 153 Utah, 7.94, 18.1, 4.8, 4275, -31, 6048, 10308, 12.2, 4, 4, 38.2784, -112.60248, "https://www.pjammcycling.com/78.--monitor-pass-east--ca-final.html",9834456
84, Monitor Pass East California, 7.91, 9.5, 6.7, 3220, -1, 5101, 8330, 10.1, 5, 4, 38.64263, -119.52776, "https://www.pjammcycling.com/79.--hwy-82.-nm.html",4235370
85, Hwy 38-Valley of Falls California, 7.89, 14.9, 5.3, 4262, -24, 1766, 5878, 12.9, 4, 3, 34.06983, -117.12163, "https://www.pjammcycling.com/80.--hwy-38-valley-of-falls--ca.html",664656
86, Hwy 82 New Mexico, 7.89, 14.2, 5.1, 3943, -32, 4720, 8639, 14.3, 4, 4, 32.95855, -105.94006, "https://www.pjammcycling.com/81--dantes-view--death-valley--ca.html",678275
87, Dantes View California, 7.84, 24.0, 5.8, 5444, -2, 5, 5445, 12.6, 4, 4, 36.44902, -116.85304, "https://www.pjammcycling.com/82.--mosquito-ridge-rd-east--ca.html",631922
88, Mosquito Ridge Rd East California, 7.84, 18.2, 5.1, 4659, -31, 1401, 5983, 15.6, 4, 5, 39.02411, -120.72053, "https://www.pjammcycling.com/83.-tollhouse-rd--ca.html",3806021
89, Beartooth Pass North Montana, 7.8, 30.0, 3.6, 5720, -450, 5630, 10950, 10.2, 4, 3, 45.17396, -109.26, "https://www.pjammcycling.com/84.-baldwin-olinda-rd--hi.html",2352061,  2326597
90, Baldwin/Olinda Rd Hawaii, 7.8, 12.4, 6.2, 4046, -31, 12, 4104, 15.2, 4, 3, 20.91605, -156.38119, "https://www.pjammcycling.com/85.--beartooth-pass--mt.html",8964831
91, Parks Creek East California, 7.77, 11.8, 5.9, 3686, -1, 3169, 6860, 11.1, 2, 5, 41.43565, -122.46185, "https://www.pjammcycling.com/86.--parks-creek-east--ca.html",747320, 609666
92, Burke Mt Vermont, 7.76, 3.3, 12.7, 2075, 0, 1125, 3180, 20.4, 4, 5, 44.59102, -71.91734, "https://www.pjammcycling.com/87.--burke-mt.--vt.html",130445
93, Hwy 18 North California, 7.75, 10.7, 7.1, 3508, 0, 3311, 6832, 12.0, 4, 1, 34.40046, -116.88939, "https://www.pjammcycling.com/88.--hwy-18-north--ca.html",3510610
94, Refugio Rd California, 7.71, 10.8, 6.7, 3757, -25, 216, 3951, 13.4, 3, 5, 34.49137, -120.06571, "https://www.pjammcycling.com/89.--refugio-rd--ca.html",641588, 10862798
95, Townes Pass West California, 7.71, 9.3, 7.5, 3371, -5, 1555, 4953, 14.8, 5, 4, 36.34185, -117.38979, "https://www.pjammcycling.com/90.--townes-pass-west--death-valley--ca.html",256983
96, Mt Ashland Oregon, 7.68, 16.2, 5.0, 4408, -92, 2273, 6621, 13.4, 4, 4, 42.13153, -122.61225, "https://www.pjammcycling.com/91.--mt.-ashland--or.html",631868
97, Magnolia Dr Colorado, 7.67, 4.5, 10.0, 2201, -4, 6056, 8232, 19.0, 3, 5, 40.00548, -105.34956, "https://www.pjammcycling.com/92.--magnolia-dr.--co.html",617452
98, Guanella Pass Colorado, 7.67, 10.8, 5.5, 3260, -190, 8560, 11669, 13.3, 4, 4, 39.70378, -105.69796, "https://www.pjammcycling.com/93.--guanella-pass--co.html",1400770
99, Hwy 168 California, 7.64, 16.3, 6.1, 4684, -249, 1080, 5568, 16.5, 4, 2, 37.01742, -119.52621, "https://www.pjammcycling.com/94.--hwy-168--ca.html",8942938
100, Emigrant Pass East California, 7.63, 20.7, 5.0, 5017, -2, 0, 5303, 15.0, 4, 4, 36.60709, -117.14599, "https://www.pjammcycling.com/94a-emigrant-pass-east--ca.html",648574
101, N4/Table Mt California, 7.62, 13.7, 5.2, 4008, -128, 3483, 7361, 11.8, 4, 4, 34.4928, -117.76516, "https://www.pjammcycling.com/95.--hwy-n4-table-mt.--ca.html",10008717
102, Balch Park Rd California, 7.6, 18.0, 4.9, 4718, -182, 1796, 6348, 12.1, 2, 5, 36.22008, -118.81663, "https://www.pjammcycling.com/97.--balch-park-road--ca.html",10008833
103, Breckenridge Rd East California, 7.6, 8.7, 6.9, 3140, -14, 3514, 6657, 11.4, 2, 5, 35.4853, -118.52665, "https://www.pjammcycling.com/95.--breckenridge-rd-east--ca.html",13376797
104, Mt Spokane Washington, 7.57, 13.2, 5.6, 3874, -14, 1964, 5850, 12.0, 3, 4, 47.83, -117.202, "https://www.pjammcycling.com/98.--mt.-spokane--wa.html",4386861
105, Lone Pine-Table Mountain California, 7.56, 15.1, 4.5, 4403, -347, 3311, 7330, 11.2, 4, 3, 34.31577, -117.49562, "https://www.pjammcycling.com/99.--lone-pine-table-mt.--ca.html",3812372
106, Mt Hood Oregon, 7.56, 15.1, 5.7, 4196, 0, 1625, 5836, 12.6, , , 45.32988, -121.91116, "https://www.pjammcycling.com/100.--mt.-hood--or.html",4894953
107, Mix Canyon Fairfield California, 6.92, 4.0, 11.1, 2165, 0, 476, 2601, 18.6, 3, 5, 38.41062, -122.05215, "https://www.pjammcycling.com/100.--mix-canyon---final.html",10041535
